date,region,latitude,longitude,temp_avg_c,temp_avg_f,hdd,cdd,hdd_7,cdd_7,hdd_14,cdd_14,hdd_30,cdd_30
2022-03-15,San_Antonio_TX,29.424349,-98.491142,17.48,63.464,1.5360000000000014,0.0,11.184000000000001,0.0,8.301428571428572,0.963,11.28,0.7026000000000001
2022-03-16,San_Antonio_TX,29.424349,-98.491142,18.04,64.472,0.5280000000000058,0.0,9.137142857142859,0.0,7.8141428571428575,0.963,10.791,0.7026000000000001
2022-03-17,San_Antonio_TX,29.424349,-98.491142,20.09,68.162,0.0,3.162000000000006,7.863428571428574,0.45171428571428657,7.637571428571429,1.1888571428571433,10.546,0.8080000000000003
2022-03-18,San_Antonio_TX,29.424349,-98.491142,16.05,60.89,4.109999999999999,0.0,6.148285714285717,0.45171428571428657,7.931142857142858,1.020857142857143,10.683,0.8052000000000002
2022-03-19,San_Antonio_TX,29.424349,-98.491142,17.26,63.068,1.9320000000000022,0.0,3.3042857142857165,0.45171428571428657,8.06914285714286,0.7641428571428577,10.524600000000001,0.8052000000000002
2022-03-20,San_Antonio_TX,29.424349,-98.491142,17.7,63.86,1.1400000000000006,0.0,1.460571428571431,0.45171428571428657,8.15057142857143,0.22585714285714328,9.8928,0.8052000000000002
2022-03-21,San_Antonio_TX,29.424349,-98.491142,21.18,70.124,0.0,5.123999999999995,1.3208571428571443,1.183714285714286,7.223142857142859,0.591857142857143,9.3832,0.9760000000000001
2022-03-22,San_Antonio_TX,29.424349,-98.491142,14.81,58.658,6.341999999999999,0.0,2.0074285714285725,1.183714285714286,6.595714285714287,0.591857142857143,9.2704,0.9760000000000001
2022-03-23,San_Antonio_TX,29.424349,-98.491142,13.32,55.976,9.024000000000001,0.0,3.2211428571428575,1.183714285714286,6.179142857142858,0.591857142857143,9.571200000000001,0.8591999999999999
2022-03-24,San_Antonio_TX,29.424349,-98.491142,15.56,60.007999999999996,4.992000000000004,0.0,3.934285714285715,0.7319999999999993,5.898857142857144,0.591857142857143,9.737600000000002,0.7256
2022-03-25,San_Antonio_TX,29.424349,-98.491142,19.12,66.416,0.0,1.4159999999999968,3.3471428571428583,0.9342857142857132,4.747714285714287,0.6929999999999998,8.9748,0.7727999999999999
2022-03-26,San_Antonio_TX,29.424349,-98.491142,20.75,69.35,0.0,4.349999999999994,3.0711428571428576,1.5557142857142838,3.187714285714287,1.0037142857142851,8.113000000000001,0.9177999999999997
2022-03-27,San_Antonio_TX,29.424349,-98.491142,19.99,67.982,0.0,2.9819999999999993,2.908285714285715,1.9817142857142838,2.184428571428573,1.2167142857142852,7.1648000000000005,1.0171999999999997
2022-03-28,San_Antonio_TX,29.424349,-98.491142,22.28,72.104,0.0,7.103999999999999,2.908285714285715,2.264571428571427,2.1145714285714297,1.7241428571428565,6.3588000000000005,1.2539999999999998
2022-03-29,San_Antonio_TX,29.424349,-98.491142,22.75,72.95,0.0,7.950000000000003,2.002285714285715,3.400285714285713,2.004857142857144,2.2919999999999994,5.713,1.5189999999999997
2022-03-30,San_Antonio_TX,29.424349,-98.491142,21.47,70.646,0.0,5.646000000000001,0.7131428571428577,4.2068571428571415,1.9671428571428575,2.695285714285714,5.1938,1.7071999999999998
2022-03-31,San_Antonio_TX,29.424349,-98.491142,19.08,66.344,0.0,1.343999999999994,0.0,4.398857142857141,1.9671428571428575,2.56542857142857,4.8096000000000005,1.7519999999999996
2022-04-01,San_Antonio_TX,29.424349,-98.491142,20.31,68.55799999999999,0.0,3.5579999999999927,0.0,4.704857142857141,1.6735714285714292,2.8195714285714266,4.5646,1.8705999999999994
2022-04-02,San_Antonio_TX,29.424349,-98.491142,23.39,74.102,0.0,9.102000000000004,0.0,5.383714285714285,1.5355714285714288,3.4697142857142844,4.4822000000000015,2.1739999999999995
2022-04-03,San_Antonio_TX,29.424349,-98.491142,22.82,73.076,0.0,8.075999999999993,0.0,6.111428571428569,1.4541428571428574,4.0465714285714265,4.4822000000000015,2.3647999999999993
2022-04-04,San_Antonio_TX,29.424349,-98.491142,23.54,74.372,0.0,9.372,0.0,6.435428571428569,1.4541428571428574,4.349999999999999,4.4822000000000015,2.5573999999999995
2022-04-05,San_Antonio_TX,29.424349,-98.491142,26.3,79.34,0.0,14.340000000000003,0.0,7.348285714285713,1.0011428571428576,5.374285714285713,4.4822000000000015,2.7841999999999993
2022-04-06,San_Antonio_TX,29.424349,-98.491142,20.36,68.648,0.0,3.647999999999996,0.0,7.0628571428571405,0.3565714285714289,5.6348571428571415,4.049400000000001,2.9057999999999993
2022-04-07,San_Antonio_TX,29.424349,-98.491142,17.8,64.04,0.9599999999999937,0.0,0.13714285714285626,6.870857142857141,0.06857142857142813,5.6348571428571415,3.5772,2.9057999999999993
2022-04-08,San_Antonio_TX,29.424349,-98.491142,18.56,65.408,0.0,0.40800000000000125,0.13714285714285626,6.420857142857143,0.06857142857142813,5.562857142857141,3.0820000000000003,2.919399999999999
2022-04-09,San_Antonio_TX,29.424349,-98.491142,21.13,70.03399999999999,0.0,5.033999999999992,0.13714285714285626,5.839714285714284,0.06857142857142813,5.611714285714284,2.7848,3.087199999999999
2022-04-10,San_Antonio_TX,29.424349,-98.491142,23.38,74.084,0.0,9.084000000000003,0.13714285714285626,5.983714285714285,0.06857142857142813,6.047571428571428,2.2476000000000007,3.3899999999999992
2022-04-11,San_Antonio_TX,29.424349,-98.491142,25.22,77.396,0.0,12.396,0.13714285714285626,6.4157142857142855,0.06857142857142813,6.425571428571428,1.5196000000000005,3.803199999999999
2022-04-12,San_Antonio_TX,29.424349,-98.491142,27.14,80.852,0.0,15.852000000000004,0.13714285714285626,6.631714285714286,0.06857142857142813,6.989999999999999,1.0514000000000006,4.331599999999999
