Power Futures Historical Data
From ERCOT Hub Average Settlement Prices
Date,Close,High,Low,Open,Volume
2024-09-03,20.744375,28.72,17.13,19.01,
2024-09-04,23.907395833333336,41.15,18.92,20.94,
2024-09-05,23.97010416666667,71.57,17.48,20.63,
2024-09-06,18.490729166666664,40.19,10.67,26.28,
2024-09-07,16.718125,69.46,0.35,18.99,
2024-09-08,16.164583333333333,64.94,-0.21,16.27,
2024-09-09,21.3128125,130.64,1.75,16.66,
2024-09-10,21.47583333333333,106.77,1.33,14.33,
2024-09-11,21.153958333333332,45.65,15.9,18.61,
2024-09-12,17.456041666666668,30.09,11.92,16.63,
2024-09-13,15.341666666666667,66.15,0.01,14.27,
2024-09-14,20.948854166666667,53.28,11.71,14.21,
2024-09-15,32.805,350.54,17.85,23.67,
2024-09-16,26.854166666666668,84.59,17.9,21.99,
2024-09-17,18.099999999999998,26.67,10.44,18.83,
2024-09-18,17.209791666666668,45.94,7.88,13.9,
2024-09-19,20.2728125,47.26,12.16,14.87,
2024-09-20,30.355729166666666,395.96,14.73,19.59,
2024-09-21,18.136354166666667,27.09,9.7,17.4,
2024-09-22,22.5821875,143.9,15.66,21.02,
2024-09-23,44.54572916666667,267.83,20.66,22.04,
2024-09-24,37.138958333333335,237.79,20.16,30.78,
2024-09-25,23.963958333333334,66.75,15.42,24.97,
2024-09-26,29.322083333333335,113.4,11.77,26.35,
2024-09-27,26.9628125,62.98,12.22,24.59,
2024-09-28,26.522499999999997,68.95,9.88,29.27,
2024-09-29,32.26833333333334,204.9,6.37,28.3,
2024-09-30,39.16052083333333,334.4,11.2,22.83,
2024-10-01,27.359062499999997,74.65,10.09,26.94,
2024-10-02,26.31177083333333,71.29,12.65,23.79,
2024-10-03,22.429166666666664,84.32,0.01,22.34,
2024-10-04,25.27416666666667,66.27,16.61,21.44,
2024-10-05,27.799479166666668,88.45,15.9,19.47,
2024-10-06,29.070625000000003,174.94,13.68,23.19,
2024-10-07,34.53333333333333,224.11,15.43,28.0,
2024-10-08,27.93885416666667,138.72,12.63,25.59,
2024-10-09,24.9021875,123.32,4.13,19.97,
2024-10-10,23.05677083333333,138.29,10.93,21.2,
2024-10-11,18.698854166666667,70.18,8.05,17.25,
2024-10-12,16.981875,56.96,3.84,12.72,
2024-10-13,22.61125,134.08,0.0,12.2,
2024-10-14,30.351249999999997,199.84,11.76,20.76,
2024-10-15,32.610729166666665,284.72,5.24,20.12,
2024-10-16,20.946041666666666,134.72,9.84,12.95,
2024-10-17,7.4390624999999995,21.8,-0.58,12.05,
2024-10-18,7.7575,18.79,-1.53,5.54,
2024-10-19,12.489791666666667,33.68,0.01,13.21,
2024-10-20,18.913229166666667,298.98,3.94,13.18,
2024-10-21,11.318333333333333,29.12,4.34,7.93,
2024-10-22,37.275416666666665,419.6,11.13,11.55,
2024-10-23,38.85552083333334,303.85,12.59,16.18,
2024-10-24,17.531354166666667,38.06,8.37,18.54,
2024-10-25,34.65135416666667,296.66,6.43,7.31,
2024-10-26,43.353229166666665,318.81,16.54,26.8,
2024-10-27,23.224791666666665,75.4,9.43,30.68,
2024-10-28,11.868437499999999,36.04,5.46,9.71,
2024-10-29,14.1190625,35.73,6.5,7.65,
